Data do repasse,Repasse Previsto,Repasse Arrecadado,Repasse Devolvido,Repasse a devolver,URL
2026-01-06,5500000.00,5500000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-01-06
2026-01-06,1500000.00,1500000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-01-06-1
2026-01-14,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-01-14
2026-01-16,11000000.00,11000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-01-16
2026-02-03,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-02-03
2026-02-06,1000000.00,1000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-02-06
2026-02-09,6000000.00,6000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-02-09
2026-02-13,11000000.00,11000000.00,0.00,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-02-13
2026-03-02,6000000.00,6000000.00,0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-03-02
2026-03-05,1000000.00,1000000.00,0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-03-05
2026-03-10,6000000.00,6000000.00,0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-03-10
2026-03-17,11000000.00,11000000.00,0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-03-17
2026-03-18,0.0,"382883,28",0.0,,https://transparencia.recife.pe.leg.br/orcamento-financas/receitas/duodecimo/duodecimo2026/2026-03-18
