Id,Nome,Cargo,Diárias,Início,Término,Motivo,Local,Valor Unitário,Total,URL
marco-aurelio-de-m-lima-ii-18-02-2024-ate-19-02-2024,Marco Aurelio de M. Lima ii,Vereador,2,2024-02-18,2024-02-19,VISITA INSTITUCIONAL A OUVIDORIA DO SENADO FEDERAL PARA TRATATIVAS DE COOPERAÇÃO EM ANDAMENTO,Brasília - DF,"R$ 900,00","R$ 1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/marco-aurelio-de-m-lima-ii-18-02-2024-ate-19-02-2024
luiz-eustaquio-ramos-neto-27-02-2024-ate-28-02-2024,Luiz Eustaquio Ramos Neto,VEREADOR,2,2024-02-27,2024-02-28,"REUNIÃO COM OS DEPUTADOS FEDERAIS EM BUSCA DE EMENDAS , RECURSOS E MELHORIAS PARA A CIDADE DO RECIFE",Brasília - DF,"R$ 900,00","R$ 1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/luiz-eustaquio-ramos-neto-27-02-2024-ate-28-02-2024
alcides-teixeira-neto-05-03-2024-ate-07-03-2024,Alcides Teixeira Neto,Vereador,3,2024-03-05,2024-03-07,"REUNIÃO COM STJ ONDE OCORRERÁ A CONTINUIDADE DA VOTAÇÃO E TAMBÉM REALIZAR VISITAS NOS GAB. DOS DEPUTADOS E
SENADOR HUMBERTO COST",Brasília - DF,"R$ 900,00","R$ 2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/alcides-teixeira-neto-05-03-2024-ate-07-03-2024
marco-aurelio-de-m-lima-ii-06-03-2024-ate-07-03-2024,Marco Aurelio de M. Lima ii,Vereador,2,2024-03-06,2024-03-07,"VISITA INSTITUCIONAL A BANCADA FEDERAL DE PE ,P/ AMPLIAÇÃO DAS COZINHAS COMUNITÁRIAS E DA POLÍTICA DE SEGURANÇA
ALIMENTAR E NUTRICIONAL",Brasília - DF,"R$ 900,00","R$ 1.800,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/marco-aurelio-de-m-lima-ii-06-03-2024-ate-07-03-2024
marco-aurelio-de-m-lima-ii-12-03-2024-ate-14-03-2024,Marco Aurelio de M. Lima ii,Vereador,3,2024-03-12,2024-03-14,"REUNIÃO COM MINISTROS DOS DIREITOS HUMANOS (DR. SILVIO ALMEIDA)PARA ENTREGAR CONVITE E ACERTAR PARTICIPAÇÃO
DA I JORNADA DA COMISSÃO DE DIREITOS HUMANOS E CIDADANIA DA CMR, DIREITO ANTIDISCRIMINATÓRIO E PROMOÇÃO DE
EQUIDADE SOCIAL",Brasília - DF,"R$ 900,00","R$ 2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/marco-aurelio-de-m-lima-ii-12-03-2024-ate-14-03-2024
daize-michele-de-a-goncalves-14-03-2024-ate-14-03-2024,Daize Michele de a. Goncalves,VEREADOR,1,2024-03-14,2024-03-14,"CONVITE DO PREFEITO DA CIDADE DE JÕAO PESSOA -PB, PARA CONHECER A POLÍTICA DE EDUCAÇÃO",João Pessoa - PB,"R$ 900,00","R$ 900,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/daize-michele-de-a-goncalves-14-03-2024-ate-14-03-2024
weberson-flavio-s-florencio-08-04-2024-ate-10-04-2024,Weberson Flavio S. Florencio,VEREADOR,3,2024-04-08,2024-04-10,REUNIÃO COM A MINISTRA DO MEIO AMBIENTE MARINA SILVA PARA TRAZER SUBSÍDIOS E INVESTIMENTOS PARA A CIDADE DO RECIFE,Brasília - DF,"R$ 900,00","R$ 2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/weberson-flavio-s-florencio-08-04-2024-ate-10-04-2024
andreza-bandeira-f-de-o-melo-10-04-2024-ate-13-04-2024,Andreza Bandeira F. de O. Melo,VEREADOR,4,2024-04-10,2024-04-13,"VISITA AO HOSPITAL PÚBLICO, JUNTO A SECRETARIA DO ESTADO DO MEIO AMBIENTE E PROTEÇÃO ANIMAL E TAMBÉM AO
PROANIMA(ASSOCIAÇÃO PROTEÇÃO DOS ANIMAIS) E VISITA A DELEGACIA DE PROTEÇÃO AO ANIMAL NO COMPLEXO DO
DEPARTAMENTO DE POLÍCIA ESPECIALIZADA AO ANIMAL",Brasília -DF,"R$ 900,00","R$ 4.600,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/andreza-bandeira-f-de-o-melo-10-04-2024-ate-13-04-2024
davi-bernardo-muniz-11-04-2024-ate-13-04-2024,Davi Bernardo Muniz,VEREADOR,3,2024-04-11,2024-04-13,PARA PARTICIPAR DO EVENTO REGIONAL DA FENATRAL XXI ENCONTRO REGIONAL DE TRANSPORTE ALTERNATIVO,Macéio - AL,"R$ 900,00","R$ 2.700,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/davi-bernardo-muniz-11-04-2024-ate-13-04-2024
ana-lucia-do-rego-ferreira-16-04-2024-ate-22-04-2024,Ana Lucia do Rego Ferreira,Vereadora,5,2024-04-16,2024-04-22,"PARA PARTICIPAR DO DRAFT SCHEDULE :2024 PAN AMERICAN FREEDOM FORUM NA CIDADE DE WASHINGTON -USA.

OBS *VER. ANA LÚCIA DOLAR DO DIA 08.04.24 COMERCIAL VENDA US$ 5,04 450DOLÁRES X 5,04 =2268,00 R$ 2.268,00 X 6 DIÁRIAS = R$ 13608,00",WASHINGTON -USA,"R$ 2.268,00","R$ 13.608,00",https://transparencia.recife.pe.leg.br/rh/gastos-de-viagens-e-diarias/2024/ana-lucia-do-rego-ferreira-16-04-2024-ate-22-04-2024
