Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,"850,00","850,00","850,00",-,-,"850,00","850,00","850,00","850,00","885,00",-,-
Despesas relacionadas ao Escritório (condomínio),"800,00","800,00","800,00",-,-,"800,00","867,84","800,00","850,00","850,00",-,-
Despesas relacionadas ao Escritório (CELPE),"190,51","129,91","83,32",-,-,"105,87","151,03","212,17","210,61","132,15",-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),"69,90","69,90","69,90",-,-,"69,90","69,90","71,76","69,90","71,76",-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"6.250,00","6.250,00","6.250,00",-,-,"6.700,00","7.100,00","7.100,00","7.100,00","7.100,00",-,-
Peças e acessórios de veículos,-,-,-,-,-,"800,00",-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ",-,-,-,-,"9.000,00",-,-,-,-,-,-,-
Material de expediente,"839,00","899,20","946,00",-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,-,-,-,-,-,-,-,-,-,-,-,-
