Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),"161,29","128,34",-,-,-,-,-,-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,-,-,-,-,-,-,-,-,-,-,-,-
Peças e acessórios de veículos,"1.150,00","4.560,00","4.645,00","4.400,00","4.420,00","4.950,00","4.200,00","4.250,00","4.300,00","4.200,00","4.350,00","5.680,00"
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ",-,-,-,-,-,-,-,-,-,-,-,-
Material de expediente,"2.401,90","2.391,00","2.353,30","2.445,70","2.364,10","2.429,20","2.465,70","2.290,80","2.394,00","2.289,30","406,40","1.799,80"
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,"5.172,75","1.537,50","1.546,00","1.517,00","1.905,00","1.535,00","1.527,00","1.650,00","1.653,00","1.510,00","1.500,10","1.500,05"
