Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),-,-,-,-,-,-,-,-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"8.000,00","8.000,00","8.000,00","8.000,00","8.000,00","11.000,00",-,-,-,-,-,-
Peças e acessórios de veículos,-,-,-,-,-,-,-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00","5.000,00",-,-,-,-,-,-
Material de expediente,-,-,-,-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,"3.000,00","3.050,00","2.950,00","3.050,00","2.950,00",-,-,-,-,-,-,-
