Item,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Aluguel de Escritório,"6.000,00","6.000,00","6.000,00","6.000,00","6.000,00","6.000,00","6.000,00",-,-,-,-,-
Despesas relacionadas ao Escritório (condomínio),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (CELPE),"615,94","648,52","733,38","838,16","887,05","711,44","704,19",-,-,-,-,-
Despesas relacionadas ao Escritório (COMPESA),"434,04","181,76","181,76","181,76","434,04","181,76","181,76",-,-,-,-,-
Despesas relacionadas ao Escritório (IPTU/TPEI),-,-,-,-,-,-,-,-,-,-,-,-
Despesas relacionadas ao Escritório (internet e telefone),"333,99","341,69","341,84","339,07","334,80","334,80","333,82",-,-,-,-,-
"Locomoção - Passagens, Hospedagens e Transporte",-,-,-,-,-,-,-,-,-,-,-,-
Locomoção - Locação de Automóvel,"8.600,00","8.600,00","8.600,00","8.600,00","8.600,00","8.600,00","8.820,00",-,-,-,-,-
Peças e acessórios de veículos,-,-,-,-,-,-,-,-,-,-,-,-
"Serviços de Consultoria, Assessoria, Pesquisas e Trabalhos técnicos ",-,-,-,-,-,-,-,-,-,-,-,-
Material de expediente,-,-,-,-,-,-,-,-,-,-,-,-
"Locação de móveis e equipamentos, aquisição ou locação de software",-,-,-,-,-,-,-,-,-,-,-,-
"Assinaturas de jornais, revistas e publicações",-,-,-,-,-,-,-,-,-,-,-,-
Serviços gráficos e cópias,-,-,-,-,-,-,-,-,-,-,-,-
